tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	PKP048	0.85	2.93	2.08	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	madonna sto diventa~ sto diventando una lagna	madonna sto diventa~ sto diventando una lagna	madonna sto diventa~ sto diventando una lagna
1	PKP040	3.36	3.97	0.61	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	no no è	no no è	no no è
2	PKP040	4.27	4.713	0.443	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	è co[sì]	è co[sì]	è così
3	PKP048	4.464	6.3	1.836	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	[ah vabbè] meno male son contenta allora	[ah vabbè] meno male son contenta allora	ah vabbè meno male son contenta allora
4	PKP040	8.94	9.28	0.34	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	tieni	tieni	tieni
5	PKP040	11.333	12.333	1.0	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	papi il tuo piatto	papi il tuo piatto	papi il tuo piatto
6	PKP048	14.338	16.56	2.222	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	laura tu vuoi qua? prima che lo chiudo?	laura tu vuoi qua? prima che lo chiudo?	laura tu vuoi qua prima che lo chiudo
7	PKP041	16.58	16.87	0.29	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
8	PKP048	16.88	18.71	1.83	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	6	o pec[ori:no c'è anche il pecorino eh]	o pec[ori:no c'è anche il pecorino eh]	o pecorino c'è anche il pecorino eh
9	PKP040	17.33	18.62	1.29	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[scusa che ti passo davanti]	[scusa che ti passo davanti]	scusa che ti passo davanti
10	PKP041	18.465	19.06	0.595	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[no] no no	[no] no no	no no no
11	PKP048	21.25	25.7	4.45	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	13	certo che (d~ devo) vedere quella caciottina che m'ha portato paolo devo ancora farla	certo che (d~ devo) vedere quella caciottina che m'ha portato paolo devo ancora farla	certo che d~ devo vedere quella caciottina che m'ha portato paolo devo ancora farla
12	PKP040	27.606	28.8	1.194	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	noi ce la siamo mangia[ta]	noi ce la siamo mangia[ta]	noi ce la siamo mangiata
13	PKP048	28.6	30.08	1.48	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	3	[l'a]vete mangiata o grattugiata,	[l'a]vete mangiata o grattugiata,	l'avete mangiata o grattugiata
14	PKP040	30.4	33.02	2.62	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	abbiamo iniziato a grattugia:rla [poi] ce la siamo mangia[ta]	abbiamo iniziato a grattugia:rla [poi] ce la siamo mangia[ta]	abbiamo iniziato a grattugiarla poi ce la siamo mangiata
15	PKP048	31.98	32.26	0.28	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[eh]	[eh]	eh
