tu_id	speaker	start	end	duration	text
0	TO999	1.330	4.558	3.228	 <allora:::> carla ti chiedo,
1	TO999	4.940	6.161	1.221	 come è fatta casa tua.
2	TO083	7.278	12.545	5.267	 come è fatta casa mia, allora i miei sono divorziati quindi ti descrivo casa di mia madre va bene?
3	TO083	13.526	15.068	1.542	 è: al primo piano.
4	TO083	15.598	17.480	1.882	 l' entrata è piuttosto losca.
5	TO083	17.663	21.846	4.183	 ci sono delle scale un po' sdrucciole: e molto buie è bruttissimo.
6	TO083	22.033	23.815	1.782	 e dici oddio dove sto entrando?
7	TO083	24.153	24.950	0.797	 poi entri,
8	TO083	25.101	25.883	0.782	 e è bellissima.
9	TO083	26.441	27.580	1.139	 perché è molto luminosa,
10	TO083	27.903	29.018	1.115	 c' è il parquet bello,
11	TO083	29.645	33.310	3.665	 c' è:: una:=m:h una cucina unita alla sala,
12	TO083	33.446	37.285	3.839	 non tanto grande pero' molto carina arredata sul rosso molto allegra,
13	TO083	37.610	39.600	1.990	 e::h=mh lievemente etnica.
14	TO083	39.683	40.840	1.157	 ma lievemente.
15	TO083	41.596	45.000	3.404	 e::h=m:h po:i: ci: sono,
16	TO083	45.346	50.840	5.494	 il mare non si vede ma si intravede un pezzettino piccolo piccolo che lascia intravedere la possibilità del mare.
17	TO083	51.325	51.840	0.515	 [e: quindi,]
18	TO999	51.415	53.035	1.620	 [il mare lo] si vede perché sei di?
19	TO083	53.105	53.933	0.828	 sono di {nomepaese} .
20	TO999	54.008	54.471	0.463	 ah o[kay.]
21	TO083	54.248	57.840	3.592	 [cioè] se ne vede u:na strisciolina minuscola non posso dire che sia vista mare,
22	TO083	58.078	58.480	0.402	 pero',
23	TO083	58.806	62.261	3.455	 ti lascia intravedere la possibilità di mare quindi c' è un' idea di apertura,
24	TO083	63.061	65.519	2.458	 e: poi c' è la stanza da letto di mia madre,
25	TO083	65.940	67.708	1.768	 la stanza da letto di mia sorella,
26	TO083	67.863	68.651	0.788	 e un bagnetto.
27	TO999	69.230	69.650	0.420	 okay.
28	TO999	70.053	71.978	1.925	 e::: come mai dici etnica?
29	TO083	72.890	81.866	8.976	 e:tnica perché: da qualche viaggio dei miei tipo in cambogia in tailandia abbiam portato magari::=m:h=un tappeto appeso al muro: oppure un quadro,
30	TO083	82.538	84.815	2.277	 qualche piccolo elemento ma non è troppo.
31	TO999	85.275	85.750	0.475	 okay.
32	TO999	85.911	86.898	0.987	 e ti piace quella casa?
33	TO083	87.341	88.008	0.667	 molto.
34	TO083	88.240	91.786	3.546	 molto purtroppo è in affitto quindi l' anno prossimo cambierà pero' sì.
35	TO083	91.800	92.508	0.708	 mi piace molto.
36	TO999	94.881	101.023	6.142	 ma:=m:h hai sempre: vissuto nella stanza da sola quindi sei abituata ad avere una tua stanz[a con le tue cose,]
37	TO083	99.895	103.005	3.110	 [no in realtà] io ho sempre abitato a casa di mio padre.
38	TO999	103.005	103.426	0.421	 mhmh,
39	TO083	103.935	106.765	2.830	 per questioni: {P} diplomatiche:,
40	TO083	106.915	113.543	6.628	 e::h conseguenti al divorzio pero':: a casa di mia madre non ho una camera mia cioè c' è camera di mia sorella e io dormo lì.
41	TO083	114.050	116.911	2.861	 o con mia sorella o nel lettone con mia madre a seconda.
42	TO999	117.711	119.851	2.140	 ho capito. e la tua stanza quindi come è fatta?
43	TO083	120.325	122.168	1.843	 la mia a casa di mio padre,
44	TO083	122.556	123.423	0.867	 si vede il mare.
45	TO083	124.785	128.691	3.906	 è piuttosto etnica perché ai tempi ero molto presa bene.
46	TO999	128.691	129.071	0.380	 mhmh,
47	TO083	129.571	132.588	3.017	 e::h=m::h c' è u:n letto,
48	TO083	133.178	135.777	2.599	 con un copriletto che avevano con mhmh,
49	TO083	136.055	138.508	2.453	 un copriletto fatto della stoffa,
50	TO083	139.411	143.280	3.869	 che avevano comprato i miei genitori vent' anni fa in viaggio di nozze in tailandia,
51	TO083	143.510	145.116	1.606	 molto molto bella blu e rossa.
52	TO083	146.028	147.521	1.493	 poi c' è una scrivania di legno,
53	TO083	148.180	150.188	2.008	 appeso al muro un tappeto,
54	TO083	150.678	154.040	3.362	 un armadio bianco sempre incasinato ed è sempre molto disordinata.
55	TO999	154.770	155.335	0.565	 okay,
56	TO999	155.885	158.425	2.540	 e:: qual è la tua stanza preferita della casa?
57	TO999	159.601	162.933	3.332	 come tipo di ambiente non [m:h specif]ico su casa tua.
58	TO083	161.061	161.793	0.732	 [e::h,]
59	TO083	163.766	165.055	1.289	 la cucina perché si mangia.
