tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	???	3.98	4.77	0.79	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 lascio aperto?	lascio aperto?	lascio aperto
1	TO026	4.98	5.535	0.555	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 sì grazie.	sì grazie.	sì grazie
2	???	5.78	6.342	0.562	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 °arrivederci°	°arrivederci°	arrivederci
3	TO028	10.686	11.422	0.736	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 permesso?	permesso?	permesso
4	TO026	11.539	12.43	0.891	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 buongiorno, pre[go,]	buongiorno, pre[go,]	buongiorno prego
5	TO028	12.326	12.867	0.541	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [bu]ongiorno,	[bu]ongiorno,	buongiorno
6	TO026	12.879	14.163	1.284	True	2	0	0	0	0	0	0	False	False	False	False	False	_	0	1	1	3	 ha già incontrato {nome_raccoglitore} ?	ha già incontrato {nome_raccoglitore} ?	ha già incontrato {nome_raccoglitore} ?
7	TO028	14.648	17.32	2.672	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	 sì {P} [e mi ha detto tutto, si si si appo]sto	sì {P} [e mi ha detto tutto, si si si appo]sto	sì {P} e mi ha detto tutto si si si apposto
8	TO026	15.223	17.167	1.944	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	6	 [sì {P} che le ha detto benissimo]	[sì {P} che le ha detto benissimo]	sì {P} che le ha detto benissimo
9	TO028	18.1	19.181	1.081	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 già ho compilato tutto,	già ho compilato tutto,	già ho compilato tutto
10	TO026	20.025	22.994	2.969	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	7	 ecco come si raccoglie materiale:: {ride} [del parla]to	ecco come si raccoglie materiale:: {ride} [del parla]to	ecco come si raccoglie materiale {ride} del parlato
11	TO028	22.134	22.703	0.569	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [infatti]	[infatti]	infatti
12	TO028	23.524	26.047	2.523	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 stavo:: ci stavo giusto pensando	stavo:: ci stavo giusto pensando	stavo ci stavo giusto pensando
13	TO028	27.467	33.25	5.783	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	 e::h allora io avrei qualche problema proprio un po' più amministrativo nel senso [della] borsa di studio	e::h allora io avrei qualche problema proprio un po' più amministrativo nel senso [della] borsa di studio	eh allora io avrei qualche problema proprio un po' più amministrativo nel senso della borsa di studio
14	TO026	31.992	32.523	0.531	True	0	0	0	0	0	0	0	False	False	False	False	True	13=0.531	0	0	0	1	 mhmh	mhmh	mhmh
15	TO026	33.452	33.881	0.429	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 mhmh	mhmh	mhmh
