tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BOR009	1.977	6.128	4.151	True	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	11	bene (.) allora e::h (.) >non siete tutti e due di< bologna quindi	bene {P} allora e::h {P} >non siete tutti e due di< bologna quindi	bene {P} allora eh {P} non siete tutti e due di bologna quindi
1	BOI045	6.37	6.76	0.39	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[solo] io	[solo] io	solo io
2	BOI046	6.37	7.584	1.214	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	4	[n~] (.) no s[olo lui]	[n~] {P} no s[olo lui]	n~ {P} no solo lui
3	BOR009	7.192	7.976	0.784	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[di bolo]gna,	[di bolo]gna,	di bologna
4	BOI046	8.096	8.596	0.5	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	napoli	napoli	napoli
5	BOR009	8.924	10.962	2.038	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	6	okay (.) e >attualmente però dove vivete<?	okay {P} e >attualmente però dove vivete<?	okay {P} e attualmente però dove vivete
6	BOI045	11.099	13.484	2.385	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	5	a ozzano dell'emilia, (.) provincia di bologna,	a ozzano dell'emilia, {P} provincia di bologna,	a ozzano dell'emilia, {P} provincia di bologna
7	BOR009	13.498	13.763	0.265	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°ah°	°ah°	ah
8	BOI046	13.763	15.853	2.09	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	7	e io a budrio (.) provincia di bologna	e io a budrio {P} provincia di bologna	e io a budrio {P} provincia di bologna
9	BOR009	15.956	16.28	0.324	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	>dove<?	>dove<?	dove
10	BOI046	16.365	16.952	0.587	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	budrio	budrio	budrio
11	BOR009	17.17	19.761	2.591	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	8	okay (.) eh quindi non: non abitate in centro	okay {P} eh quindi non: non abitate in centro	okay {P} eh quindi non non abitate in centro
12	BOI046	19.783	20.122	0.339	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	no	no	no
13	BOI045	20.122	23.383	3.261	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	no (.) x io da poco c(io)è prima abitavo a bologna:	no {P} x io da poco c(io)è prima abitavo a bologna:	no {P} x io da poco cioè prima abitavo a bologna
14	BOI045	23.937	25.307	1.37	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	in: zona san donato	in: zona san donato	in zona san donato
15	BOR009	25.458	26.374	0.916	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	a:h ok[ay]	a:h ok[ay]	ah okay
16	BOI045	26.103	26.374	0.271	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[(e via)]	[(e via)]	e via
17	BOR009	26.885	28.708	1.823	True	0	0	0	0	0	0	False	False	False	False	True	18=0.420	0	1	1	6	son stata anch'io in zona san donato ((ride))	son stata anch'io in zona san donato {ride}	son stata anch'io in zona san donato {ride}
18	BOI045	27.987	28.407	0.42	True	0	0	0	0	0	0	False	False	False	False	True	17=0.420	0	1	0	0	((ride))	{ride}	{ride}
19	BOR009	29.062	32.119	3.057	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	e che: (.) che ve ne pare della città di bologna	e che: {P} che ve ne pare della città di bologna	e che {P} che ve ne pare della città di bologna
20	BOI045	33.209	35.006	1.797	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	ah io son di parte quindi non:	ah io son di parte quindi non:	ah io son di parte quindi non
21	BOI045	35.687	38.672	2.985	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	9	c(io)è a me piace molto secondo me offre tanto c'è::	c(io)è a me piace molto secondo me offre tanto c'è::	cioè a me piace molto secondo me offre tanto c'è::
22	BOI045	38.865	40.697	1.832	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	in questo momento è molto costosa	in questo momento è molto costosa	in questo momento è molto costosa
23	BOI045	41.143	44.369	3.226	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	nel senso [che vi]vere qui è diventato: un po':	nel senso [che vi]vere qui è diventato: un po':	nel senso che vivere qui è diventato un po'
24	BOR009	41.616	41.862	0.246	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mh]	[mh]	mh
25	BOI045	45.31	55.656	10.346	True	0	0	1	0	0	0	False	False	False	False	False	_	2	0	0	34	un po' inarrivabile (.) con anche con un buon lavoro infatti: anche da noi molti colleghi sono venuti a: provare questo mestiere poi sono dovuti andare via perchè non (.) non ci stavano con i costi	un po' inarrivabile {P} con anche con un buon lavoro infatti: anche da noi molti colleghi sono venuti a: provare questo mestiere poi sono dovuti andare via perchè non {P} non ci stavano con i costi	un po' inarrivabile {P} con anche con un buon lavoro infatti anche da noi molti colleghi sono venuti a provare questo mestiere poi sono dovuti andare via perché non {P} non ci stavano con i costi
26	BOI045	56.226	62.693	6.467	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	20	e::h eh >poi vabbè< è molto bella offre tanto c'è sempre qualcosa da fare in ce:ntro: >insomma< (.) io mi trovo bene	e::h eh >poi vabbè< è molto bella offre tanto c'è sempre qualcosa da fare in ce:ntro: >insomma< {P} io mi trovo bene	eh eh poi vabbè è molto bella offre tanto c'è sempre qualcosa da fare in centro insomma {P} io mi trovo bene
27	BOI046	63.675	66.194	2.519	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	no io che vengo da fuori onestamente::	no io che vengo da fuori onestamente::	no io che vengo da fuori onestamente
28	BOI046	66.553	69.027	2.474	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	6	sono rimasto molto soddisfatto (.) della città	sono rimasto molto soddisfatto {P} della città	sono rimasto molto soddisfatto {P} della città
29	BOI046	69.213	73.28	4.067	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	12	ha molti servi:zi:, (.) come diceva il mio collega comunque è mo:lto ca:ra	ha molti servi:zi:, {P} come diceva il mio collega comunque è mo:lto ca:ra	ha molti servizi {P} come diceva il mio collega comunque è molto cara
30	BOI046	73.646	80.089	6.443	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	19	ma molto molto molto e per per un giovane è difficile comunque (.) riuscire a cominciare un'attività lavorativa e lav~ e	ma molto molto molto e per per un giovane è difficile comunque {P} riuscire a cominciare un'attività lavorativa e lav~ e	ma molto molto molto e per per un giovane è difficile comunque {P} riuscire a cominciare un'attività lavorativa e lav~ e
31	BOI046	80.727	85.592	4.865	True	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	16	e rientra(r)ci con le spese se non ha (.) delle spalle forte (.) per poter ricoprire alcune spese	e rientra(r)ci con le spese se non ha {P} delle spalle forte {P} per poter ricoprire alcune spese	e rientrarci con le spese se non ha {P} delle spalle forte {P} per poter ricoprire alcune spese
32	BOI046	85.93	91.556	5.626	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	sicuramente però: una volta riuscito a cominciare comunque riesci a: trovare la tua dimensione	sicuramente però: una volta riuscito a cominciare comunque riesci a: trovare la tua dimensione	sicuramente però una volta riuscito a cominciare comunque riesci a trovare la tua dimensione
33	BOI046	92.086	93.653	1.567	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e: riesci a fare tante cose	e: riesci a fare tante cose	e riesci a fare tante cose
