tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BOR005	0.64	1.759	1.119	True	0	0	0	0	0	0	0	False	False	False	False	True	1=0.799	0	0	0	1	allo:ra	allo:ra	allora
1	BOI013	0.96	2.383	1.423	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[i~ su]gn tamarra	[i~ su]gn tamarra	i~ sugn tamarra
2	BOR005	2.52	3.565	1.045	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	iniziamo	iniziamo	iniziamo
3	BOR005	3.9	4.461	0.561	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	alo~	alo~	alo~
4	BOR005	5.13	6.858	1.728	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	in che zona di bologna vivete?	in che zona di bologna vivete?	in che zona di bologna vivete
5	BOI013	6.954	8.01	1.056	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	corticella	corticella	corticella
6	BOR005	8.252	8.763	0.511	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh	mh	mh
7	BOR005	8.887	10.358	1.471	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	e avete sempre vissuto qua?	e avete sempre vissuto qua?	e avete sempre vissuto qua
8	BOI013	10.642	10.918	0.276	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	no	no	no
9	BOI012	10.93	11.37	0.44	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°no°	°no°	no
10	BOR005	12.18	14.0	1.82	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	oka:y prima dove abitavate	oka:y prima dove abitavate	okay prima dove abitavate
11	BOI012	14.86	16.471	1.611	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	2	a corticella ((ride))	a corticella {ride}	a corticella {ride}
