tu_id	speaker	start	end	duration	text
0	PKP048	0.850	2.930	2.080	 madonna sto diventa~ sto diventando una lagna
1	PKP040	3.360	3.970	0.610	 no no è
2	PKP040	4.270	4.713	0.443	 è co[sì]
3	PKP048	4.464	6.300	1.836	 [ah vabbè] meno male son contenta allora
4	PKP040	8.940	9.280	0.340	 tieni
5	PKP040	11.333	12.333	1.000	 papi il tuo piatto
6	PKP048	14.338	16.560	2.222	 laura tu vuoi qua? prima che lo chiudo?
7	PKP041	16.580	16.870	0.290	 sì
8	PKP048	16.880	18.710	1.830	 o pec[ori:no c'è anche il pecorino eh]
9	PKP040	17.330	18.620	1.290	 [scusa che ti passo davanti]
10	PKP041	18.465	19.060	0.595	 [no] no no
11	PKP048	21.250	25.700	4.450	 certo che (d~ devo) vedere quella caciottina che m'ha portato paolo devo ancora farla
12	PKP040	27.606	28.800	1.194	 noi ce la siamo mangia[ta]
13	PKP048	28.600	30.080	1.480	 [l'a]vete mangiata o grattugiata,
14	PKP040	30.400	33.020	2.620	 abbiamo iniziato a grattugia:rla [poi] ce la siamo mangia[ta]
15	PKP048	31.980	32.259	0.279	 [eh]
16	PKP048	32.759	33.800	1.041	 [man]giata eh
17	PKP048	43.510	44.420	0.910	 buon appetito
18	PKP040	44.700	45.529	0.829	 buon appetito:
19	PKP048	45.800	46.710	0.910	 piatto pulito
20	PKP048	48.600	51.040	2.440	 non so chi dice~ eh questo di[cevi tu:]
21	PKP040	50.200	53.400	3.200	 [la:: no] la [sua:] maestra:: della scuola materna
22	PKP041	51.200	51.540	0.340	 [sì]
23	PKP039	51.750	52.448	0.698	 {ride}
24	PKP040	53.900	55.050	1.150	 la bianchini
25	PKP040	56.090	58.030	1.940	 buon appetito: piatto pulito:
26	PKP040	60.000	61.290	1.290	 e fa~ e si faceva:::
27	PKP040	61.550	62.510	0.960	 (e) mangiavano tutto
28	PKP040	63.330	64.940	1.610	 con questa::: frase magica,
29	PKP048	66.000	66.760	0.760	 come::
30	PKP048	67.750	70.210	2.460	 valentina: {P} cosa fai a scuola? >pappa<
31	PKP040	70.340	71.460	1.120	 la merenda {ride}
32	PKP048	71.470	72.330	0.860	 {ride} gio:ia:
33	PKP039	73.410	74.410	1.000	 è pigghiato (vedi) eh (il fuoco)
34	PKP040	74.570	75.380	0.810	 è andato
35	PKP040	77.337	79.050	1.713	 mh:: ha preso il fuo[co]
36	PKP048	79.083	83.060	3.977	 [ma] sto cristiano non capisco se non c'ha co:llo se ha le spalle (più alte del) collo
37	PKP041	82.786	83.200	0.414	 {ride}
38	PKP040	83.335	84.560	1.225	 sembra piccoli:no
39	PKP040	89.550	93.080	3.530	 questa è fanatica eh si fa fare tutte le:: cose: come il vestito
40	PKP048	95.530	96.720	1.190	 ne hai fatto tanto
41	PKP048	97.240	98.960	1.720	 dopo [mi dici do]po mi dici a me
42	PKP040	97.440	98.100	0.660	 [apposta]
43	PKP040	98.990	100.040	1.050	 no l'ho fatta apposta
44	PKP048	100.187	101.187	1.000	 ah basta allora
45	PKP041	101.990	103.410	1.420	 cosa, n~ {P} fatto tanto?
46	PKP040	103.410	103.650	0.240	 mh
47	PKP040	105.890	107.210	1.320	 stasera fallo rimanere beppe
48	PKP048	107.640	109.190	1.550	 x xx [xxx] dai
49	PKP040	108.360	108.980	0.620	 [sta l'insalatona]
50	PKP041	109.190	110.380	1.190	 ma' e che deve rimanere,
51	PKP040	110.740	112.520	1.780	 beh ieri sera alle nove e mezzo se n'é andato vi[a]
52	PKP041	112.200	114.020	1.820	 [e inf]atti ieri gli è costato
53	PKP040	114.070	115.220	1.150	 perché? l'hanno fermato?
54	PKP041	115.840	119.500	3.660	 no: però n~ n~ [n~] non gli fa piacere dover andare velocemente a casa
55	PKP040	116.690	116.900	0.210	 [ah],
56	PKP040	120.650	121.120	0.470	 °vabbè°
57	PKP041	121.880	124.510	2.630	 anche perché a quell'ora vanno tutti velocemente a casa
58	PKP048	130.449	133.360	2.911	 certo xxxx che quel tacchino a tre euro al chilo eh
59	PKP040	134.200	134.450	0.250	 mh
60	PKP048	134.594	136.340	1.746	 era un peccato non comprarlo
61	PKP040	137.740	138.026	0.286	 eh
62	PKP040	138.650	141.230	2.580	 quella volta lo facesti al forno {P} era buonissimo
63	PKP048	142.990	144.080	1.090	 quello che avevo fatto i[o]?
64	PKP040	143.950	144.950	1.000	 [a]l for[no l'avevi f~]
65	PKP048	144.480	145.350	0.870	 [nel sacc]otto
66	PKP040	145.770	150.220	4.450	 la prima la seconda volta nel saccotto la prima volta non so come l'avevi fa:tto se sempre nel saccotto
67	PKP040	150.220	152.290	2.070	 so che venne {P} buonissimo
68	PKP048	152.408	155.290	2.882	 non mi dite perché cambio sempre hai visto ieri le fettine?
69	PKP040	155.549	156.220	0.671	 buo:ne
70	PKP041	157.260	157.500	0.240	 mh:
71	PKP048	158.370	158.910	0.540	 perché:
72	PKP041	159.070	160.510	1.440	 <fari:na di {P} riso>
73	PKP041	160.945	161.248	0.303	 n[o]
74	PKP048	161.030	163.230	2.200	 [n]o no {P} il pane grattuggiato:
75	PKP041	163.320	163.610	0.290	 ah
76	PKP048	163.793	167.800	4.007	 ho messo dentro: {P} il:: {P} parmigia:no, pepe, sale,
77	PKP048	168.880	171.460	2.580	 un poco de:::mh di o:lio:,
78	PKP040	171.750	172.250	0.500	 mh:
79	PKP040	173.520	175.050	1.530	 farina non ce n'era proprio?
80	PKP041	175.214	175.560	0.346	 a[h]
81	PKP040	175.430	175.810	0.380	 [ok]ay
82	PKP048	176.390	177.480	1.090	 un po' di:: di a[glio]
83	PKP040	177.487	180.020	2.533	 [(>sembri<)] l'antonietta buzzi guarda quando era più giovane
84	PKP041	180.214	181.020	0.806	 è vero {ride}
85	PKP048	182.170	182.980	0.810	 questa chi è?
86	PKP040	183.540	184.440	0.900	 la: [mi]nistr[a::]
87	PKP041	183.780	184.230	0.450	 [no]
88	PKP039	184.440	185.310	0.870	 [se]rracchiani
89	PKP048	186.160	188.460	2.300	 no è una faccia:: a mbeh x[x politica]
90	PKP040	187.690	188.430	0.740	 [no ministra]
91	PKP039	189.490	190.230	0.740	 (deputato) del p[d]
92	PKP040	190.230	191.720	1.490	 [de]puta:to sì una deputata
93	PKP048	195.420	199.120	3.700	 cos'ha fatto la xxxx, che sentivo al telegiorna:le che [dicevano::]
94	PKP041	198.365	199.371	1.006	 [°xx non lo] so°
95	PKP040	223.240	224.000	0.760	 vuoi [coca cola]?
96	PKP041	223.540	224.160	0.620	 [ma secondo vo]i
97	PKP041	225.040	226.630	1.590	 perché alcune case abbandona:te
