tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BO026	12.59	13.218	0.628	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 ditemi.	ditemi.	ditemi
1	BO040	13.315	23.365	10.05	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	22	 sì eh <no::i abbiamo il programma dell' anno scorso pero' abbiamo visto:: che lei fa uno scritto come funziona per noi inve[ce,>]	sì eh <no::i abbiamo il programma dell' anno scorso pero' abbiamo visto:: che lei fa uno scritto come funziona per noi inve[ce,>]	sì eh noi abbiamo il programma dell' anno scorso pero' abbiamo visto che lei fa uno scritto come funziona per noi invece
2	BO026	23.08	25.893	2.813	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 [no v]oi portate quello portate quello dell' anno s[cors]o.	[no v]oi portate quello portate quello dell' anno s[cors]o.	no voi portate quello portate quello dell' anno scorso
3	BO040	25.225	25.79	0.565	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [s:ì.]	[s:ì.]	sì
4	BO040	26.248	26.65	0.402	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 s:ì.	s:ì.	sì
5	BO026	27.048	28.813	1.765	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 regolare quello dell' anno scors[o.]	regolare quello dell' anno scors[o.]	regolare quello dell' anno scorso
6	BO040	28.68	30.385	1.705	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 [e] quindi l' or[ale::]	[e] quindi l' or[ale::]	e quindi l' orale
7	BO026	29.711	30.38	0.669	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [l' orale,]	[l' orale,]	l' orale
8	BO026	30.531	34.33	3.799	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 la prima parte l' orale sarà un colloquio voi vi iscrivete,	la prima parte l' orale sarà un colloquio voi vi iscrivete,	la prima parte l' orale sarà un colloquio voi vi iscrivete
9	BO026	34.76	38.57	3.81	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 alla data: dell' app[ello ch]e corrisponde a quella dello scr[itto,]	alla data: dell' app[ello ch]e corrisponde a quella dello scr[itto,]	alla data dell' appello che corrisponde a quella dello scritto
10	BO040	36.34	36.911	0.571	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [mh=mh.]	[mh=mh.]	mh mh
11	BO040	38.115	38.653	0.538	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [mh=mh.]	[mh=mh.]	mh mh
12	BO026	39.243	41.94	2.697	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 e::: pero' tutto il programma dell' anno scorso.	e::: pero' tutto il programma dell' anno scorso.	e pero' tutto il programma dell' anno scorso
13	BO026	41.978	45.59	3.612	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 la seconda parte de:l del co~ del programma,	la seconda parte de:l del co~ del programma,	la seconda parte del del co~ del programma
14	BO026	45.833	48.06	2.227	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 è identica a quella di quest' anno cioè,	è identica a quella di quest' anno cioè,	è identica a quella di quest' anno cioè
15	BO026	48.196	50.4	2.204	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 come i~ la prova consiste,	come i~ la prova consiste,	come i~ la prova consiste
16	BO041	50.445	51.658	1.213	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 quella del dialogo [no,]	quella del dialogo [no,]	quella del dialogo no
17	BO026	51.45	51.816	0.366	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [s]ì.	[s]ì.	sì
18	BO026	52.221	55.041	2.82	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 dell' analisi della sequenza d(i) interazione in clas[se.]	dell' analisi della sequenza d(i) interazione in clas[se.]	dell' analisi della sequenza di interazione in classe
19	BO040	54.9	55.363	0.463	True	0	0	0	0	0	0	0	False	False	False	True	True	18=0.141	0	0	0	2	 [mh]=mh.]	[mh]=mh.]	mh mh
20	BO026	55.99	58.206	2.216	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 ma:: voi fate tutto l' esame orale.	ma:: voi fate tutto l' esame orale.	ma voi fate tutto l' esame orale
21	BO026	58.566	63.163	4.597	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 con il programma dell' anno scorso così come era previsto nel dalla::	con il programma dell' anno scorso così come era previsto nel dalla::	con il programma dell' anno scorso così come era previsto nel dalla
22	BO026	63.463	65.155	1.692	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 verifica::=mh	verifica::=mh	verifica mh
23	BO026	65.498	66.933	1.435	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 dall' esame dell' anno scorso.	dall' esame dell' anno scorso.	dall' esame dell' anno scorso
24	BO040	67.4	71.67	4.27	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 <e ma lo faremo il dodici cioè il giorno de[llo scri:tto,>]	<e ma lo faremo il dodici cioè il giorno de[llo scri:tto,>]	e ma lo faremo il dodici cioè il giorno dello scritto
25	BO026	70.565	71.78	1.215	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [voi vi iscrivet]e,	[voi vi iscrivet]e,	voi vi iscrivete
26	BO026	72.18	74.62	2.44	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 all' appello che è quello della prova scritta,	all' appello che è quello della prova scritta,	all' appello che è quello della prova scritta
27	BO026	74.745	77.98	3.235	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 e poi io vi inserisco (i~) adesso me~ mi scrivo:	e poi io vi inserisco (i~) adesso me~ mi scrivo:	e poi io vi inserisco i~ adesso me~ mi scrivo
28	BO040	78.111	78.49	0.379	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 s:ì.	s:ì.	sì
29	BO026	78.55	79.456	0.906	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 i vostri nomi,	i vostri nomi,	i vostri nomi
30	BO040	79.458	79.94	0.482	True	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0	1	 <s[ì.>]	<s[ì.>]	sì
31	BO026	79.988	84.71	4.722	True	0	0	0	0	0	0	0	False	False	False	False	True	32=0.410	0	0	0	11	 [n]elle liste che preparero' e che metterò nella:: nella pagin[a doc]ente,	[n]elle liste che preparero' e che metterò nella:: nella pagin[a doc]ente,	nelle liste che preparero' e che metterò nella nella pagina docente
32	BO040	83.891	84.301	0.41	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [mh=mh.]	[mh=mh.]	mh mh
33	BO026	85.365	87.09	1.725	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	4	 di {P} qualche giorno dopo.	di {P} qualche giorno dopo.	di {P} qualche giorno dopo
34	BO026	87.586	93.741	6.155	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	18	 due {P} massimo tre g[iorni do]po a seconda come ho spiegato a tutti del numero degli scritti da correggere.	due {P} massimo tre g[iorni do]po a seconda come ho spiegato a tutti del numero degli scritti da correggere.	due {P} massimo tre giorni dopo a seconda come ho spiegato a tutti del numero degli scritti da correggere
35	BO041	89.29	89.81	0.52	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [°okay.°]	[°okay.°]	okay
36	BO040	93.831	94.805	0.974	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 <°d' accordo.°>	<°d' accordo.°>	d' accordo
37	BO026	94.936	97.748	2.812	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	8	 e: mi mi dite, {P} anzi lo scrivo qui.	e: mi mi dite, {P} anzi lo scrivo qui.	e mi mi dite {P} anzi lo scrivo qui
38	BO040	97.811	98.21	0.399	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 <°s~°>	<°s~°>	s~
39	BO026	98.21	100.44	2.23	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 voi avete il programma e:h=mh	voi avete il programma e:h=mh	voi avete il programma eh mh
40	BO026	101.715	102.815	1.1	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 e::h=mh	e::h=mh	eh mh
41	BO026	103.82	105.61	1.79	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 duemilaquindici sedici.	duemilaquindici sedici.	duemilaquindici sedici
