tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	PKP031	0.88	1.12	0.24	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 okay	okay	okay
1	PKP031	2.25	3.34	1.09	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 ciao ragazzuole	ciao ragazzuole	ciao ragazzuole
2	PKP038	4.43	7.65	3.22	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	1	0	5	 ciao, gianni che <piacere> [vederti] {P} {ride}	ciao, gianni che <piacere> [vederti] {P} {ride}	ciao gianni che piacere vederti {P} {ride}
3	PKP031	6.99	9.29	2.3	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 [ah vi dicevo] cioè la ale::	[ah vi dicevo] cioè la ale::	ah vi dicevo cioè la ale
4	PKP031	11.58	14.18	2.6	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 son stato da lei son venuto:: via adesso	son stato da lei son venuto:: via adesso	son stato da lei son venuto via adesso
5	PKP031	15.375	16.2	0.825	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 (cioè) [son venuto a ca~]	(cioè) [son venuto a ca~]	cioè son venuto a ca~
6	PKP012	15.607	17.867	2.26	True	0	0	0	0	0	0	0	0	False	False	False	False	True	5=0.593,7=0.210	0	0	0	7	 [AH da ieri] che ci siamo visti	[AH da ieri] che ci siamo visti	ah da ieri che ci siamo visti
7	PKP031	17.222	17.432	0.21	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [sì]	[sì]	sì
8	PKP031	18.092	21.152	3.06	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 xx da da pomeriggio poi son tornato qua e:	xx da da pomeriggio poi son tornato qua e:	xx da da pomeriggio poi son tornato qua e
9	PKP012	22.027	23.287	1.26	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 e your sister?	e your sister?	e your sister
10	PKP031	24.312	29.032	4.72	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	 e mia sorella e:: ha fatto quel cavolo che ha voluto è andata da suo moroso	e mia sorella e:: ha fatto quel cavolo che ha voluto è andata da suo moroso	e mia sorella e ha fatto quel cavolo che ha voluto è andata da suo moroso
11	PKP038	30.107	31.357	1.25	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 n~ c'ha controllo [xx]	n~ c'ha controllo [xx]	n~ c' ha controllo xx
12	PKP031	30.612	31.482	0.87	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [ieri] xx	[ieri] xx	ieri xx
13	PKP031	31.562	34.942	3.38	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	11	 [NO ma] {P} sai cosa siccome eravamo tutti e due via no	[NO ma] {P} sai cosa siccome eravamo tutti e due via no	no ma {P} sai cosa siccome eravamo tutti e due via no
14	PKP012	31.567	32.537	0.97	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 [NO NO è che]	[NO NO è che]	no no è che
15	PKP031	36.165	40.885	4.72	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	21	 i i miei possono vedere se c'è l'allarme o no a casa >se stiamo< via dovremo mettere l'allarme	i i miei possono vedere se c'è l'allarme o no a casa >se stiamo< via dovremo mettere l'allarme	i i miei possono vedere se c' è l' allarme o no a casa se stiamo via dovremo mettere l' allarme
16	PKP012	40.89	41.66	0.77	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 l'ha~ l'hai fatto?	l'ha~ l'hai fatto?	l' ha~ l' hai fatto
17	PKP031	41.805	43.355	1.55	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 non abbiamo messo l'allarme	non abbiamo messo l'allarme	non abbiamo messo l' allarme
18	PKP031	43.75	47.55	3.8	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 però abbiamo chiuso anche l'altra porticina a chiave e serà tutto:	però abbiamo chiuso anche l'altra porticina a chiave e serà tutto:	però abbiamo chiuso anche l' altra porticina a chiave e serà tutto
19	PKP012	47.575	48.015	0.44	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 okay	okay	okay
