tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	PKP094	0.01	0.53	0.52	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	0	 ~gari	~gari	~gari
1	PKP094	0.633	1.943	1.31	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 vuoi andare su:	vuoi andare su:	vuoi andare su
2	PKP056	2.169	3.239	1.07	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 in mansa[rda]	in mansa[rda]	in mansarda
3	PKP093	2.943	3.985	1.042	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [in piccionaia]	[in piccionaia]	in piccionaia
4	PKP094	2.971	4.338	1.367	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [in mansarda] eh	[in mansarda] eh	in mansarda eh
5	PKP094	4.633	6.605	1.972	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 lì forse staresti meglio eh secondo me	lì forse staresti meglio eh secondo me	lì forse staresti meglio eh secondo me
6	PKP093	6.816	9.394	2.578	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 quando avrò una camera mia con ta[nto di scrivania]	quando avrò una camera mia con ta[nto di scrivania]	quando avrò una camera mia con tanto di scrivania
7	PKP094	8.45	17.799	9.349	True	0	0	0	0	0	0	0	False	False	False	False	True	6=0.944	0	0	0	25	 [sì lo so] ma nel frattempo volendo anche ci potresti andare lì la sera potresti anche: studiare qui che nessuno: ti rompe i coglioni [eh.]	[sì lo so] ma nel frattempo volendo anche ci potresti andare lì la sera potresti anche: studiare qui che nessuno: ti rompe i coglioni [eh.]	sì lo so ma nel frattempo volendo anche ci potresti andare lì la sera potresti anche studiare qui che nessuno ti rompe i coglioni eh
8	PKP093	17.84	21.453	3.613	True	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0	12	 [sì] ma tanto poi entrare (è tutto un) entra e esci e:	[sì] ma tanto poi entrare (è tutto un) entra e esci e:	sì ma tanto poi entrare è tutto un entra e esci e
9	PKP094	22.04	26.78	4.74	True	0	0	0	0	0	0	0	False	False	False	False	True	10=1.080	0	0	0	15	 o se no lassù: nello studio con me, [ci] sta eh tutti e due [eh]	o se no lassù: nello studio con me, [ci] sta eh tutti e due [eh]	o se no lassù nello studio con me ci sta eh tutti e due eh
10	PKP093	25.7	28.55	2.85	True	0	0	0	0	0	0	0	False	False	False	False	True	9=1.080	0	0	0	8	 [no::] [ma] io mi metto lì sopra xx	[no::] [ma] io mi metto lì sopra xx	no ma io mi metto lì sopra xx
11	PKP056	30.03	31.1	1.07	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 la caterina?	la caterina?	la caterina
12	PKP094	31.756	38.76	7.004	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	23	 caterina dopo le nove e mezzo [viene] xxx ha detto mi chiama: tocca a stare lì a aspettarla tutte le volte che [due]	caterina dopo le nove e mezzo [viene] xxx ha detto mi chiama: tocca a stare lì a aspettarla tutte le volte che [due]	caterina dopo le nove e mezzo viene xxx ha detto mi chiama tocca a stare lì a aspettarla tutte le volte che due
13	PKP056	33.093	33.213	0.12	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mh]	[mh]	mh
14	PKP056	37.593	37.953	0.36	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [xxx]	[xxx]	xxx
15	PKP094	39.62	45.11	5.49	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	 no no ma ci vado ma lei mi chiama:, babbo forza arriva eh, parti subito	no no ma ci vado ma lei mi chiama:, babbo forza arriva eh, parti subito	no no ma ci vado ma lei mi chiama babbo forza arriva eh parti subito
16	PKP094	45.148	49.528	4.38	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	 io parto subito e poi sto lì ce~ ma non sapevo che tu c'eri e	io parto subito e poi sto lì ce~ ma non sapevo che tu c'eri e	io parto subito e poi sto lì ce~ ma non sapevo che tu c' eri e
17	PKP093	49.76	50.784	1.024	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 [mezz'ora d'attesa]	[mezz'ora d'attesa]	mezz' ora d' attesa
