tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BOR005	0.64	1.759	1.119	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 all[o:ra]	all[o:ra]	allora
1	BOI013	0.96	2.383	1.423	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [i~ su]gn tamarra	[i~ su]gn tamarra	i~ sugn tamarra
2	BOR005	2.52	3.565	1.045	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 iniziamo	iniziamo	iniziamo
3	BOR005	3.9	4.461	0.561	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 alo~	alo~	alo~
4	BOR005	5.13	6.858	1.728	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 in che zona di bologna vivete?	in che zona di bologna vivete?	in che zona di bologna vivete
5	BOI013	6.954	8.01	1.056	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 corticella	corticella	corticella
6	BOR005	8.252	8.763	0.511	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 mh	mh	mh
7	BOR005	8.887	10.358	1.471	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 e avete sempre vissuto qua?	e avete sempre vissuto qua?	e avete sempre vissuto qua
8	BOI013	10.642	10.918	0.276	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 no	no	no
9	BOI012	10.93	11.37	0.44	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 °no°	°no°	no
10	BOR005	12.18	14.0	1.82	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 oka:y prima dove abitavate	oka:y prima dove abitavate	okay prima dove abitavate
11	BOI012	14.86	16.471	1.611	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	2	 a corticella {ride}	a corticella {ride}	a corticella {ride}
12	BOI012	17.62	20.689	3.069	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 poi abbiamo abitato: vabbè a bologna in generale	poi abbiamo abitato: vabbè a bologna in generale	poi abbiamo abitato vabbè a bologna in generale
13	BOI012	22.2	24.109	1.909	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 comun~ questa non è z~ [cortic]ella qua eh	comun~ questa non è z~ [cortic]ella qua eh	comun~ questa non è z~ corticella qua eh
14	BOR005	23.099	23.414	0.315	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mh]	[mh]	mh
15	BOR005	24.179	24.592	0.413	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 no?	no?	no
16	BOI012	24.725	25.813	1.088	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 questa è la dozza eh	questa è la dozza eh	questa è la dozza eh
17	BOI013	25.86	27.392	1.532	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 però è quartiere cortic[ella]	però è quartiere cortic[ella]	però è quartiere corticella
18	BOI012	27.206	27.56	0.354	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [n]o	[n]o	no
19	BOR005	27.65	28.319	0.669	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 ah okay	ah okay	ah okay
20	BOR005	28.77	33.085	4.315	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	14	 e {P} le scuole le avete frequentate qui, o in altri quartieri, in altre città,	e {P} le scuole le avete frequentate qui, o in altri quartieri, in altre città,	e {P} le scuole le avete frequentate qui o in altri quartieri in altre città
21	BOI012	33.085	34.181	1.096	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [altri quartieri]	[altri quartieri]	altri quartieri
22	BOI013	33.085	34.181	1.096	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [altri quartieri]	[altri quartieri]	altri quartieri
23	BOR005	34.607	35.406	0.799	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 ah: okay	ah: okay	ah okay
24	BOR005	36.09	41.903	5.813	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	 e i vostri amici vivono ancora nei quartieri dove abita[vate vo]i o si sono spost[ati]?	e i vostri amici vivono ancora nei quartieri dove abita[vate vo]i o si sono spost[ati]?	e i vostri amici vivono ancora nei quartieri dove abitavate voi o si sono spostati
25	BOI013	39.836	40.176	0.34	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [no]	[no]	no
26	BOI012	41.616	43.07	1.454	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 [al]cuni sì alcuni no	[al]cuni sì alcuni no	alcuni sì alcuni no
27	BOI013	43.08	43.431	0.351	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 no	no	no
28	BOR005	43.941	46.006	2.065	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	5	 e {P} vi piace questa zona?	e {P} vi piace questa zona?	e {P} vi piace questa zona
29	BOI013	46.727	47.117	0.39	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [no]	[no]	no
30	BOI012	46.733	48.71	1.977	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	6	 [a me no] a me no {ride}	[a me no] a me no {ride}	a me no a me no {ride}
31	BOI013	48.72	50.458	1.738	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	 {ride}	{ride}	{ride}
32	BOR005	51.02	52.642	1.622	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 e perché non vi piace?	e perché non vi piace?	e perché non vi piace
33	BOI012	53.24	56.506	3.266	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 perché viviamo su una strada troppo trafficata per [quello (che mi riguarda)]	perché viviamo su una strada troppo trafficata per [quello (che mi riguarda)]	perché viviamo su una strada troppo trafficata per quello che mi riguarda
34	BOI013	55.75	59.724	3.974	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 [non ci sono ne]gozi non ci sono: non c'è niente nessun servizio	[non ci sono ne]gozi non ci sono: non c'è niente nessun servizio	non ci sono negozi non ci sono non c' è niente nessun servizio
35	BOR005	60.353	60.738	0.385	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e	e	e
36	BOR005	61.014	62.976	1.962	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 come migliorereste la vostra zona?	come migliorereste la vostra zona?	come migliorereste la vostra zona
37	BOI013	63.935	64.646	0.711	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	 {ride}	{ride}	{ride}
38	BOI012	64.739	69.191	4.452	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	 ah beh: se avessi la possibilità di far venire dei negozi e i negozianti	ah beh: se avessi la possibilità di far venire dei negozi e i negozianti	ah beh se avessi la possibilità di far venire dei negozi e i negozianti
39	BOR005	68.115	69.547	1.432	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	 {ride}	{ride}	{ride}
40	BOI012	69.641	71.549	1.908	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 e: quant'altro co[sì]	e: quant'altro co[sì]	e quant' altro così
41	BOI013	71.395	74.268	2.873	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 [chiu]derei questa strada e la farei solamente per noi	[chiu]derei questa strada e la farei solamente per noi	chiuderei questa strada e la farei solamente per noi
42	BOR005	74.311	74.914	0.603	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	 {ride}	{ride}	{ride}
43	BOI013	75.042	78.843	3.801	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	6	 troppo trafficata di camion macchine:: {P} troppo	troppo trafficata di camion macchine:: {P} troppo	troppo trafficata di camion macchine {P} troppo
44	BOI013	79.005	80.185	1.18	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 °non se~ si sta più°	°non se~ si sta più°	non se~ si sta più
45	BOR005	80.705	82.875	2.17	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 e oltre al traffico ci sono anche altri problemi?	e oltre al traffico ci sono anche altri problemi?	e oltre al traffico ci sono anche altri problemi
46	BOI012	83.15	83.87	0.72	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 °no: e:h no°	°no: e:h no°	no eh no
47	BOI013	83.87	84.87	1.0	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 è poco servita	è poco servita	è poco servita
48	BOR005	85.433	85.827	0.394	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 a::h	a::h	ah
49	BOR005	87.07	88.487	1.417	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 a:nche tipo m:h in[tend~]	a:nche tipo m:h in[tend~]	anche tipo mh intend~
50	BOI013	88.205	89.245	1.04	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [di] auto[bus]	[di] auto[bus]	di autobus
51	BOR005	88.68	89.253	0.573	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [okay]	[okay]	okay
52	BOI013	89.5	91.655	2.155	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 per chi va a lavorare è: un grosso problema	per chi va a lavorare è: un grosso problema	per chi va a lavorare è un grosso problema
53	BOI012	91.665	93.655	1.99	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 >meno male che bisogna esser naturali< o:h	>meno male che bisogna esser naturali< o:h	meno male che bisogna esser naturali oh
54	BOR005	94.565	95.035	0.47	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e::	e::	e
55	BOR005	95.17	96.55	1.38	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 quan~ e: <nel>	quan~ e: <nel>	quan~ e nel
56	BOR005	97.59	98.57	0.98	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 >visto che comunque<	>visto che comunque<	visto che comunque
57	BOR005	98.73	102.55	3.82	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 >quindi devi< spostarti spesso per cercare:: tipo nego:zi::	>quindi devi< spostarti spesso per cercare:: tipo nego:zi::	quindi devi spostarti spesso per cercare tipo negozi
58	BOI013	102.63	104.06	1.43	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	8	 sì {P} per andare a far la spesa sì	sì {P} per andare a far la spesa sì	sì {P} per andare a far la spesa sì
59	BOR005	104.09	107.18	3.09	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 >ma li trovate qua nelle vicinanze< o [dovete] spo[starvi] parecchio	>ma li trovate qua nelle vicinanze< o [dovete] spo[starvi] parecchio	ma li trovate qua nelle vicinanze o dovete spostarvi parecchio
60	BOI012	105.705	106.045	0.34	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [°<sì>°]	[°<sì>°]	sì
61	BOI012	106.245	106.515	0.27	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [°sì°]	[°sì°]	sì
62	BOI012	107.385	110.335	2.95	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 nelle vicinanze ma::: necessita l'automobile comunque	nelle vicinanze ma::: necessita l'automobile comunque	nelle vicinanze ma necessita l' automobile comunque
63	BOR005	110.36	110.85	0.49	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 a::h	a::h	ah
64	BOI013	110.935	111.795	0.86	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 o la corriera	o la corriera	o la corriera
65	BOR005	112.855	116.015	3.16	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	 e {P} voi principalmente cove come mi vi muovete in città	e {P} voi principalmente cove come mi vi muovete in città	e {P} voi principalmente cove come mi vi muovete in città
66	BOI012	116.265	116.845	0.58	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 in auto	in auto	in auto
67	BOI013	117.015	117.765	0.75	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 autobus	autobus	autobus
68	BOR005	119.33	120.65	1.32	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 e >qua però< ne passano pochi	e >qua però< ne passano pochi	e qua però ne passano pochi
69	BOI013	120.99	122.33	1.34	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	4	 sì {P} la linea azzurra	sì {P} la linea azzurra	sì {P} la linea azzurra
70	BOR005	123.07	125.66	2.59	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	9	 e quindi? {P} °m:h° la fermata più vicina qual è	e quindi? {P} °m:h° la fermata più vicina qual è	e quindi {P} mh la fermata più vicina qual è
71	BOI013	126.153	129.425	3.272	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	12	 no la vici~ la:: fermata è vicina {P} però: ci sono gli orari,	no la vici~ la:: fermata è vicina {P} però: ci sono gli orari,	no la vici~ la fermata è vicina {P} però ci sono gli orari
72	BOR005	129.81	130.28	0.47	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 a::h	a::h	ah
73	BOI013	130.625	133.385	2.76	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 se perdo un autobus poi devo s~ (a)spettare un'altra ora	se perdo un autobus poi devo s~ (a)spettare un'altra ora	se perdo un autobus poi devo s~ aspettare un' altra ora
74	BOR005	134.6	136.34	1.74	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 >ah okay quindi< la mobilità è molto ridotta	>ah okay quindi< la mobilità è molto ridotta	ah okay quindi la mobilità è molto ridotta
75	BOI013	136.395	136.825	0.43	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 sì	sì	sì
76	BOI013	137.66	139.44	1.78	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 specialmente di domenica festivi	specialmente di domenica festivi	specialmente di domenica festivi
77	BOR005	139.52	139.93	0.41	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 °m:h°	°m:h°	mh
78	BOR005	140.325	142.495	2.17	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 invece in auto com'è <spostarsi> DA qua	invece in auto com'è <spostarsi> DA qua	invece in auto com' è spostarsi da qua
79	BOI012	143.1	144.16	1.06	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 ah e:::h	ah e:::h	ah eh
80	BOI012	144.3	149.39	5.09	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	20	 ti sposti in auto come: come da tutte le altre parti, prendi la macchina {ride} e vai dove devi andare °>cioè<°	ti sposti in auto come: come da tutte le altre parti, prendi la macchina {ride} e vai dove devi andare °>cioè<°	ti sposti in auto come come da tutte le altre parti prendi la macchina {ride} e vai dove devi andare cioè
81	BOR005	150.345	150.765	0.42	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e::	e::	e
82	BOR005	151.035	153.545	2.51	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	6	 invece {P} parlando di bologna in generale	invece {P} parlando di bologna in generale	invece {P} parlando di bologna in generale
83	BOR005	154.23	157.59	3.36	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 pensate che la <città> sia cambiata molto negli ul[timi an]ni?	pensate che la <città> sia cambiata molto negli ul[timi an]ni?	pensate che la città sia cambiata molto negli ultimi anni
84	BOI013	156.79	157.3	0.51	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [sì]	[sì]	sì
