tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BO139	0.4	4.03	3.63	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	eccoci qua. sarà difficilissimo raga perché tipo in quattro poi comunque	eccoci qua. sarà difficilissimo raga perché tipo in quattro poi comunque	eccoci qua sarà difficilissimo raga perché tipo in quattro poi comunque
1	BO147	0.41	0.64	0.23	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	{ride}	{ride}	{ride}
2	BO139	4.45	5.35	0.9	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	ci si parla sopra	ci si parla sopra	ci si parla sopra
3	BO147	5.36	6.17	0.81	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	{ride}	{ride}	{ride}
4	BO145	5.7	6.64	0.94	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	dopo lo devi far te?	dopo lo devi far te?	dopo lo devi far te
5	BO139	7.1	7.3	0.2	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
6	BO146	7.79	9.33	1.54	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	già xxxx (mi sono) emozio[nato]	già xxxx (mi sono) emozio[nato]	già x mi sono emozionato
7	BO145	9.01	11.24	2.23	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[ma già] qua~ >cioè< quattro [poi (sono) tanti]	[ma già] qua~ >cioè< quattro [poi (sono) tanti]	ma già qua~ cioè quattro poi sono tanti
8	BO147	10.31	12.7	2.39	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	[ma ti devi a~ anch]e autox~ autotrascrivere?	[ma ti devi a~ anch]e autox~ autotrascrivere?	ma ti devi a~ anche autox~ autotrascrivere
9	BO139	13.01	13.17	0.16	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
10	BO146	13.195	13.345	0.15	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	0	x	x	x
11	BO139	13.355	13.525	0.17	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
12	BO139	13.925	17.055	3.13	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	mi sto inculando in questo mo[mento non è che sto f]acendo il tirocinio	mi sto inculando in questo mo[mento non è che sto f]acendo il tirocinio	mi sto inculando in questo momento non è che sto facendo il tirocinio
13	BO147	14.995	15.935	0.94	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[(ah bene)]	[(ah bene)]	ah bene
14	BO139	17.175	17.815	0.64	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	{ride}	{ride}	{ride}
