tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	PKP031	0.88	1.12	0.24	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	okay	okay	okay
1	PKP031	2.25	3.34	1.09	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	ciao ragazzuole	ciao ragazzuole	ciao ragazzuole
2	PKP038	4.43	7.65	3.22	True	0	0	0	0	0	0	False	False	False	False	False		1	1	0	5	ciao, gianni che <piacere> [vederti] (.) ((ride))	ciao, gianni che <piacere> [vederti] {P} {ride}	ciao gianni che piacere vederti {P} {ride}
3	PKP031	6.99	9.29	2.3	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	[ah vi dicevo] cioè la ale::	[ah vi dicevo] cioè la ale::	ah vi dicevo cioè la ale
4	PKP031	11.58	14.18	2.6	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	son stato da lei son venuto:: via adesso	son stato da lei son venuto:: via adesso	son stato da lei son venuto via adesso
5	PKP031	15.375	16.2	0.825	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	(cioè) [son venuto a ca~]	(cioè) [son venuto a ca~]	cioè son venuto a ca~
6	PKP012	15.607	17.867	2.26	True	0	0	0	0	0	0	False	False	False	False	True	5=0.593,7=0.210	0	0	0	7	[AH da ieri] che ci siamo visti	[AH da ieri] che ci siamo visti	ah da ieri che ci siamo visti
7	PKP031	17.222	17.432	0.21	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	[sì]	[sì]	sì
8	PKP031	18.092	21.152	3.06	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	9	xx da da pomeriggio poi son tornato qua e:	xx da da pomeriggio poi son tornato qua e:	xx da da pomeriggio poi son tornato qua e
9	PKP012	22.027	23.287	1.26	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	e your sister?	e your sister?	e your sister
10	PKP031	24.312	29.032	4.72	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	16	e mia sorella e:: ha fatto quel cavolo che ha voluto è andata da suo moroso	e mia sorella e:: ha fatto quel cavolo che ha voluto è andata da suo moroso	e mia sorella e ha fatto quel cavolo che ha voluto è andata da suo moroso
11	PKP038	30.107	31.357	1.25	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	3	n~ c'ha controllo [xx]	n~ c'ha controllo [xx]	n~ c'ha controllo xx
12	PKP031	30.612	31.482	0.87	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	[ieri] xx	[ieri] xx	ieri xx
13	PKP031	31.562	34.942	3.38	True	0	0	0	0	0	0	False	False	False	False	False		1	0	0	11	[NO ma] (.) sai cosa siccome eravamo tutti e due via no	[NO ma] {P} sai cosa siccome eravamo tutti e due via no	no ma {P} sai cosa siccome eravamo tutti e due via no
14	PKP012	31.567	32.537	0.97	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	[NO NO è che]	[NO NO è che]	no no è che
15	PKP031	36.165	40.885	4.72	True	0	0	0	0	0	0	False	False	False	False	False		0	0	3	15	i i miei possono vedere se c'è l'allarme o no a casa >se stiamo< via dovremo mettere l'allarme	i i miei possono vedere se c'è l'allarme o no a casa >se stiamo< via dovremo mettere l'allarme	i i miei possono vedere se c'è l'allarme o no a casa se stiamo via dovremo mettere l'allarme
16	PKP012	40.89	41.66	0.77	True	0	0	0	0	0	0	False	False	False	False	False		0	0	2	1	l'ha~ l'hai fatto?	l'ha~ l'hai fatto?	l'ha~ l'hai fatto
17	PKP031	41.805	43.355	1.55	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	3	non abbiamo messo l'allarme	non abbiamo messo l'allarme	non abbiamo messo l'allarme
18	PKP031	43.75	47.55	3.8	True	0	0	0	0	0	0	False	False	False	False	False		0	0	2	9	#però abbiamo chiuso anche l'altra porticina a chiave e serà tutto:	#però abbiamo chiuso anche l'altra porticina a chiave e serà tutto:	#però abbiamo chiuso anche l'altra porticina a chiave e serà tutto
19	PKP012	47.575	48.015	0.44	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	okay	okay	okay
20	PKP031	48.91	51.34	2.43	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	7	xxxxx [non vengono mai i ladri xxxx]	xxxxx [non vengono mai i ladri xxxx]	xxxxx non vengono mai i ladri xxxx
21	PKP012	49.44	54.99	5.55	True	0	0	0	0	0	0	False	False	False	False	False		1	0	0	21	[come se foste via (.) EH NO vabbé] ma non puoi scongiurare che non vengano mai e [proprio quella volta là vengono.]	[come se foste via {P} EH NO vabbé] ma non puoi scongiurare che non vengano mai e [proprio quella volta là vengono.]	come se foste via {P} eh no vabbé ma non puoi scongiurare che non vengano mai e proprio quella volta là vengono
22	PKP031	53.455	56.545	3.09	True	0	0	0	0	0	0	False	False	False	False	False		1	1	0	7	[lo so] (.) stavolta ho avuto °abbastanza fortuna° ((ride))	[lo so] {P} stavolta ho avuto °abbastanza fortuna° {ride}	lo so {P} stavolta ho avuto abbastanza fortuna {ride}
23	PKP031	57.15	60.73	3.58	True	0	0	0	0	0	0	False	False	False	False	False		1	0	0	16	però spero che non capiti mai più °cioè° che almeno uno dei due (.) sia a [casa]	però spero che non capiti mai più °cioè° che almeno uno dei due {P} sia a [casa]	però spero che non capiti mai più cioè che almeno uno dei due {P} sia a casa
24	PKP012	60.6	62.54	1.94	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	7	[e] e a che ora l'hai vista poi?	[e] e a che ora l'hai vista poi?	e e a che ora l'hai vista poi
25	PKP031	62.715	66.7	3.985	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	10	eh (mia) [sorella io] non la vedo da::: da venerdì	eh (mia) [sorella io] non la vedo da::: da venerdì	eh mia sorella io non la vedo da da venerdì
26	PKP012	63.38	64.15	0.77	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	[eh (your)]	[eh (your)]	eh your
27	PKP038	66.77	67.35	0.58	True	0	0	0	0	0	0	False	False	False	False	True	28=0.490	0	1	0	0	((ride))	{ride}	{ride}
28	PKP012	66.86	67.42	0.56	True	0	0	0	0	0	0	False	False	False	False	True	27=0.490	0	0	0	1	okay	okay	okay
29	PKP031	67.64	72.93	5.29	True	0	0	1	0	0	0	False	False	False	False	False		0	0	0	23	x è passata per casa >perchè ho visto che è passata per casa< ma °non so dove sia° adesso sarà sempre là con.	x è passata per casa >perchè ho visto che è passata per casa< ma °non so dove sia° adesso sarà sempre là con.	x è passata per casa perché ho visto che è passata per casa ma non so dove sia adesso sarà sempre là con
30	PKP012	72.94	75.23	2.29	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	e i tuoi quando tornano stasera? o domani,	e i tuoi quando tornano stasera? o domani,	e i tuoi quando tornano stasera o domani
31	PKP031	76.01	77.87	1.86	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	tornano: adesso (qua)	tornano: adesso (qua)	tornano adesso qua
32	PKP031	79.245	80.865	1.62	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	NO NO mia mamma ha lezione	NO NO mia mamma ha lezione	no no mia mamma ha lezione
33	PKP012	81.42	81.68	0.26	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	EH	EH	eh
34	PKP012	81.985	83.655	1.67	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	in didattica a distanza?	in didattica a distanza?	in didattica a distanza
35	PKP031	84.15	84.827	0.677	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	2	#°sì°(.) ara beppe	#°sì°{P} ara beppe	#sì{P} ara beppe
36	PKP012	85.815	86.585	0.77	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	eh. alleluia	eh. alleluia	eh alleluia
37	PKP038	87.463	87.823	0.36	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	0	°dov'è?°	°dov'è?°	dov'è?
38	PKP012	88.625	89.225	0.6	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	in fon[do,]	in fon[do,]	in fondo
39	PKP031	88.81	89.66	0.85	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	[là in fondo,]	[là in fondo,]	là in fondo
40	PKP012	91.16	93.55	2.39	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	6	la sandra è sempre quella ritardataria ((ride))	la sandra è sempre quella ritardataria {ride}	la sandra è sempre quella ritardataria {ride}
41	PKP031	93.59	95.14	1.55	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	5	sì ma la sandra c'è:: [va~]	sì ma la sandra c'è:: [va~]	sì ma la sandra c'è:: va~
42	PKP038	94.85	97.94	3.09	True	0	0	1	0	0	0	False	False	False	False	False		0	0	1	11	[perchè] dice un orario [però poi] l'autobus passa a un altro [orario.]	[perchè] dice un orario [però poi] l'autobus passa a un altro [orario.]	perché dice un orario però poi l'autobus passa a un altro orario
43	PKP031	96.03	96.58	0.55	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	[NO uno]	[NO uno]	no uno
44	PKP031	97.515	101.095	3.58	True	0	0	1	0	0	0	False	False	False	False	True	42=0.425,45=1.200	0	0	1	12	[QUATTRO e mezza ci sta] perchè comunque un'ora e mezza va bene ma:	[QUATTRO e mezza ci sta] perchè comunque un'ora e mezza va bene ma:	quattro e mezza ci sta perché comunque un'ora e mezza va bene ma
45	PKP012	97.96	99.16	1.2	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	[(sono) le quaranta,]	[(sono) le quaranta,]	sono le quaranta
46	PKP012	101.51	104.43	2.92	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	7	sì ma alle sei chiudono tutto ciao: ((ride))	sì ma alle sei chiudono tutto ciao: {ride}	sì ma alle sei chiudono tutto ciao {ride}
47	PKP038	105.12	109.95	4.83	True	0	0	0	0	0	0	False	False	False	False	False		1	0	1	16	beh ieri sono andata a una laurea ci hanno [diviso] però (.) perché l'aveva già [prenotata °da tempo°]	beh ieri sono andata a una laurea ci hanno [diviso] però {P} perché l'aveva già [prenotata °da tempo°]	beh ieri sono andata a una laurea ci hanno diviso però {P} perché l'aveva già prenotata da tempo
48	PKP031	107.115	107.555	0.44	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	[ah se?]	[ah se?]	ah se
49	PKP031	109.04	109.93	0.89	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	[ma: a pranzo?]	[ma: a pranzo?]	ma a pranzo
50	PKP038	110.125	110.415	0.29	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	°sì°	°sì°	sì
51	PKP038	111.265	115.725	4.46	True	0	0	0	0	0	0	False	False	False	False	False		2	0	2	13	[infatti non] sono riuscita a andare a canto (.) però l'ho fatto on line (.) l'ho [chiamata]	[infatti non] sono riuscita a andare a canto {P} però l'ho fatto on line {P} l'ho [chiamata]	infatti non sono riuscita a andare a canto {P} però l'ho fatto on line {P} l'ho chiamata
52	PKP012	111.315	111.765	0.45	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	[come?]	[come?]	come
53	PKP031	111.6	111.83	0.23	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	[di chi?]	[di chi?]	di chi
