tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	TO999	1.33	4.558	3.228	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	<allora:::> carla ti chiedo,	<allora:::> carla ti chiedo,	allora carla ti chiedo
1	TO999	4.94	6.161	1.221	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	come è fatta casa tua.	come è fatta casa tua.	come è fatta casa tua
2	TO083	7.278	12.545	5.267	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	19	come è fatta casa mia, allora i miei sono divorziati quindi ti descrivo casa di mia madre va bene?	come è fatta casa mia, allora i miei sono divorziati quindi ti descrivo casa di mia madre va bene?	come è fatta casa mia allora i miei sono divorziati quindi ti descrivo casa di mia madre va bene
3	TO083	13.526	15.068	1.542	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	è: al primo piano.	è: al primo piano.	è al primo piano
4	TO083	15.598	17.48	1.882	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	l' entrata è piuttosto losca.	l' entrata è piuttosto losca.	l' entrata è piuttosto losca
5	TO083	17.663	21.846	4.183	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	ci sono delle scale un po' sdrucciole: e molto buie è bruttissimo.	ci sono delle scale un po' sdrucciole: e molto buie è bruttissimo.	ci sono delle scale un po' sdrucciole e molto buie è bruttissimo
6	TO083	22.033	23.815	1.782	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e dici oddio dove sto entrando?	e dici oddio dove sto entrando?	e dici oddio dove sto entrando
7	TO083	24.153	24.95	0.797	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	poi entri,	poi entri,	poi entri
8	TO083	25.101	25.883	0.782	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	e è bellissima.	e è bellissima.	e è bellissima
9	TO083	26.441	27.58	1.139	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	perché è molto luminosa,	perché è molto luminosa,	perché è molto luminosa
10	TO083	27.903	29.018	1.115	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	c' è il parquet bello,	c' è il parquet bello,	c' è il parquet bello
11	TO083	29.645	33.31	3.665	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	c' è:: una:=m:h una cucina unita alla sala,	c' è:: una:=m:h una cucina unita alla sala,	c' è una mh una cucina unita alla sala
12	TO083	33.446	37.285	3.839	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	non tanto grande però molto carina arredata sul rosso molto allegra,	non tanto grande però molto carina arredata sul rosso molto allegra,	non tanto grande però molto carina arredata sul rosso molto allegra
13	TO083	37.61	39.6	1.99	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	e::h=mh lievemente etnica.	e::h=mh lievemente etnica.	eh mh lievemente etnica
14	TO083	39.683	40.84	1.157	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ma lievemente.	ma lievemente.	ma lievemente
15	TO083	41.596	45.0	3.404	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	e::h=m:h po:i: ci: sono,	e::h=m:h po:i: ci: sono,	eh mh poi ci sono
16	TO083	45.346	50.84	5.494	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	19	il mare non si vede ma si intravede un pezzettino piccolo piccolo che lascia intravedere la possibilità del mare.	il mare non si vede ma si intravede un pezzettino piccolo piccolo che lascia intravedere la possibilità del mare.	il mare non si vede ma si intravede un pezzettino piccolo piccolo che lascia intravedere la possibilità del mare
17	TO083	51.325	51.84	0.515	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	e[: quindi,]	e[: quindi,]	e quindi
18	TO999	51.415	53.035	1.62	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[il mare lo] si vede perché sei di?	[il mare lo] si vede perché sei di?	il mare lo si vede perché sei di
